Label,Track,Artist,Valence
Not Country,Agora Hills,Doja Cat,0.51
Not Country,Montagem Rave Eterno,Dj Samir,0.85
Not Country,Lil Boo Thang,Paul Russell,0.92
Not Country,MONACO,Bad Bunny,0.13
Not Country,Laxed (Siren Beat),Jawsh 685,0.96
Not Country,(It Goes Like) Nanana - Edit,Peggy Gou,0.96
Not Country,Training Season,Dua Lipa,0.66
Not Country,Type Shit,Future,0.11
Not Country,Armageddon,aespa,0.47
Not Country,The Box,Roddy Ricch,0.64
Not Country,INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,0.89
Not Country,Pedro,Jaxomy,0.84
Not Country,Bling-Bang-Bang-Born,Creepy Nuts,0.75
Not Country,Saturn,SZA,0.33
Not Country,Believer,Imagine Dragons,0.67
Not Country,WAIT FOR U (feat. Drake & Tems),Future,0.34
Not Country,I KNOW ?,Travis Scott,0.82
Not Country,ANDO,Jere Klein,0.35
Not Country,First Class,Jack Harlow,0.33
Not Country,Save Your Tears - Live,The Weeknd,0.4
Not Country,Losing Interest - Original Mix,Goovex,0.58
Not Country,I Ain't Worried,OneRepublic,0.52
Not Country,vampire,Olivia Rodrigo,0.35
Not Country,Butter,BTS,0.7
