Track,Album Name,Artist,Release Date,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Popularity,YouTube Views,YouTube Likes
Tu Turrito,Tu Turrito,Rei,5/4/2022,2918,25.8,187818818,26770,57,291692983,1352658
Rumah Singgah,Rumah Singgah,Fabio Asher,5/5/2022,2550,28,239624643,13095,67,228923419,1210579
La Triple T,La Triple T,TINI,5/5/2022,2877,26,265244748,27965,58,219911011,1029281
Desde Mis Ojos - Remix,Desde Mis Ojos (Remix),Chris Lebron,5/5/2022,4351,20.1,128669257,25684,62,142184505,819929
Me Porto Bonito,Un Verano Sin Ti,Bad Bunny,5/6/2022,64,184.8,1811990630,173358,79,1516863120,8870768
Titï¿½ï¿½ Me Pregu,Un Verano Sin Ti,Bad Bunny,5/6/2022,89,163.1,1514239759,190692,77,1366181141,9358441
Ojitos Lindos,Un Verano Sin Ti,Bad Bunny,5/6/2022,188,110.7,1421763497,152592,78,945857087,5587691
Moscow Mule,Un Verano Sin Ti,Bad Bunny,5/6/2022,272,94.1,1108031580,121256,77,765780154,4700638
Efecto,Un Verano Sin Ti,Bad Bunny,5/6/2022,292,90.1,1293773697,115332,77,501908214,2730759
Vegas (From the Original Motion Picture Soundtrack ELVIS),Vegas (From the Original Motion Picture Soundtrack ELVIS),Doja Cat,5/6/2022,509,68.2,553783547,83450,68,238368386,2671201
Party,Un Verano Sin Ti,Bad Bunny,5/6/2022,789,54.7,725076772,83311,72,296661885,2150658
Tarot,Un Verano Sin Ti,Bad Bunny,5/6/2022,796,54.3,742515730,93128,73,275203830,1499544
Thought You Should Know,Thought You Should Know,Morgan Wallen,5/6/2022,906,50.7,340227841,40523,73,137384524,667467
Me Fui de Vacaciones,Un Verano Sin Ti,Bad Bunny,5/6/2022,1067,46.4,366872354,61014,68,146768761,1402279
Neverita,Un Verano Sin Ti,Bad Bunny,5/6/2022,1139,44.6,831868563,93211,73,181498962,1237772
Andrea,Un Verano Sin Ti,Bad Bunny,5/6/2022,1335,40.7,432885913,51912,71,321888868,1818193
Despuï¿½ï¿½s de la P,Un Verano Sin Ti,Bad Bunny,5/6/2022,1493,37.9,542751537,67763,71,195610806,1623280
La Corriente,Un Verano Sin Ti,Bad Bunny,5/6/2022,1745,34.9,591704263,65115,71,179847217,1213273
Enemy - Radio Edit,NOW That's What I Call Music! Vol. 82,Imagine Dragons,5/6/2022,1886,33.4,820953,204,22,38888242,500894
Un Coco,Un Verano Sin Ti,Bad Bunny,5/6/2022,1904,33.2,534736940,54870,73,243635144,1460980
Whiskey On You,Whiskey On You - Single,Nate Smith,5/6/2022,1985,32.3,193854805,33972,68,24154881,173205
Un Ratito,Un Verano Sin Ti,Bad Bunny,5/6/2022,1990,32.3,500671737,57541,70,204437602,1398859
Otro Atardecer,Un Verano Sin Ti,Bad Bunny,5/6/2022,2126,31.2,426439016,58352,71,187059915,1140762
Soweto,Outlaw,Victony,5/6/2022,2123,31.2,133353888,40696,69,152140804,845642
Dos Mil 16,Un Verano Sin Ti,Bad Bunny,5/6/2022,2249,30.2,426904285,50219,71,198252709,1323047
Yo No Soy Celoso,Un Verano Sin Ti,Bad Bunny,5/6/2022,2901,25.9,370800055,49381,68,130681979,909372
Aguacero,Un Verano Sin Ti,Bad Bunny,5/6/2022,3068,25,342075557,42659,68,128273450,963861
Ensï¿½ï¿½ï¿½ï¿½ame,Un Verano Sin Ti,Bad Bunny,5/6/2022,3398,23.5,348372811,52893,69,106600063,684118
Un Verano Sin Ti,Un Verano Sin Ti,Bad Bunny,5/6/2022,3495,23.1,360149048,49439,69,94595491,955663
Churchill Downs (feat. Drake),Come Home The Kids Miss You,Jack Harlow,5/6/2022,3690,22.3,153857576,59992,61,77159004,877109
Jai Jai Shivshankar (The Unwind Mix),The Unwind Mix,Benny Dayal,5/7/2022,2945,25.7,6355,1,,490930106,2737821
The Heart Part 5,The Heart Part 5,Kendrick Lamar,5/8/2022,4470,19.7,89806639,41371,59,55825164,2131185
Gypsy,Gypsy,G.D. Kaur,5/10/2022,2682,27.2,58989412,4708,3,457435947,2665092
Last Last,Last Last,Burna Boy,5/12/2022,346,82.4,410722289,130203,68,332556651,1906835
Cooped Up (with Roddy Ricch),Cooped Up,Post Malone,5/12/2022,1401,39.6,327011836,76622,62,116596146,1210310
I Ain't Worried,"I Ainï¿½ï¿½ï¿½t Worried (Music From The Motion Pi""Top Gun: Maverick"")",OneRepublic,5/13/2022,127,136.2,1607421145,212406,83,409785349,3326477
You Proof,You Proof,Morgan Wallen,5/13/2022,494,69.3,644437397,64367,79,141964689,814824
Jiggle Jiggle,Jiggle Jiggle,Duke & Jones,5/13/2022,891,51.2,121214716,37436,56,12801028,183570
N95,Mr. Morale & The Big Steppers,Kendrick Lamar,5/13/2022,1194,43.4,426936498,118020,74,124386115,2134071
SUPERMODEL,SUPERMODEL,Mï¿½ï¿½ne,5/13/2022,1936,32.9,308183607,57988,64,29232672,460660
Die Hard,Mr. Morale & The Big Steppers,Kendrick Lamar,5/13/2022,2107,31.4,318340376,83638,71,43714392,491664
En El Radio Un Cochinero,En El Radio Un Cochinero,Victor Cibrian,5/13/2022,2399,29.1,215837483,26581,61,306900769,1945111
Rich Spirit,Mr. Morale & The Big Steppers,Kendrick Lamar,5/13/2022,2437,28.9,254191262,68188,71,66231224,1090031
United In Grief,Mr. Morale & The Big Steppers,Kendrick Lamar,5/13/2022,2578,27.8,246425341,81509,71,38465606,807082
Another Love (Tiï¿½ï¿½sto Re,Another Love (Tiï¿½ï¿½sto Re,Tom Odell,5/13/2022,2620,27.5,141141890,32658,67,26048435,224730
Fall In Love Alone,Fall In Love Alone,Stacey Ryan,5/13/2022,2746,26.8,250626750,28158,66,42387613,401947
Silent Hill,Mr. Morale & The Big Steppers,Kendrick Lamar,5/13/2022,2933,25.7,151507054,63279,63,46312741,658950
Count Me Out,Mr. Morale & The Big Steppers,Kendrick Lamar,5/13/2022,3049,25.1,201021118,64247,72,88574109,1615761
Overloading (OVERDOSE),Overdose (feat. LADIPOE Magixx & Boy Spyce) - Single,Mavins,5/13/2022,3920,21.6,58523865,18165,53,12161436,65390
Tak Ingin Usai,Tak Ingin Usai,Keisya Levronka,5/13/2022,4281,20.4,265767551,15498,63,154689466,1539974
DANï¿½ï¿½ARINA (feat. Nicky Jam MC Pedrinho) - R,Cullinan,PEDRO SAMPAIO,5/13/2022,4301,20.3,100491006,20334,59,243709,3244
BILLIE EILISH.,BILLIE EILISH.,Armani White,5/19/2022,350,82,359416593,91114,64,116400996,2127918
Late Night Talking,Harry's House,Harry Styles,5/20/2022,258,96.4,959639297,108806,76,151113156,2809492
HOTEL LOBBY (Unc & Phew),HOTEL LOBBY (Unc and Phew),Quavo,5/20/2022,1002,47.9,399707517,131547,69,44839108,449678
El Hijo Mayor,El Hijo Mayor - Single,Junior H,5/20/2022,1450,38.6,357445095,30881,71,402629804,1360903
Music For a Sushi Restaurant,Harry's House,Harry Styles,5/20/2022,1649,36,408265830,54371,67,72040046,1550840
5 Foot 9,5 Foot 9,Tyler Hubbard,5/20/2022,1742,34.9,193680404,27754,65,893876,7807
Pipoco,Pipoco,Ana Castela,5/20/2022,1794,34.4,238890270,27066,60,384799195,2963384
Heart Like A Truck,Heart Like A Truck,Lainey Wilson,5/20/2022,1906,33.2,156975001,21559,68,96079749,597275
Satellite,Harry's House,Harry Styles,5/20/2022,2373,29.3,455718141,51605,70,75741997,1437701
Luchï¿½ï¿½ La,Luchï¿½ï¿½ La Ley - Si,BoomBoxRepairKit,5/20/2022,2645,27.4,,,,511029390,1611310
vendetta!,vendetta!,MUPP,5/20/2022,2773,26.7,317919778,77387,68,51618223,617981
Matilda,Harry's House,Harry Styles,5/20/2022,3003,25.4,502585349,64618,72,50100652,768251
Never Gonna Give You Up (2022 - Remaster),Whenever You Need Somebody (Deluxe Edition - 2022 Remaster),Rick Astley,5/20/2022,3199,24.4,839345554,295,23,,
La Llevo Al Cielo (Ft. ï¿½ï¿½engo F,La Llevo Al Cielo (Ft. ï¿½ï¿½engo F,Chris Jedi,5/20/2022,3471,23.2,411006233,63319,67,6186421,60126
Sun to Me,American Heartbreak,Zach Bryan,5/20/2022,4209,20.6,307125680,37085,78,23958351,115841
Tigini (Remix),Tigini (Remix) - Single,Kikimoteleba,5/20/2022,4199,20.6,97902676,29131,58,201368546,3657987
Daylight,Harry's House,Harry Styles,5/20/2022,4558,19.5,377242486,42233,68,46848683,1141593
Beat Automotivo Tan Tan Tan Viral,Beat Automotivo Tan Tan Tan Viral,WZ Beat,5/24/2022,26,268.1,7382759,3504,35,4233958,69990
Die Young (feat. 347aidan),Die Young (feat. 347aidan),Sleepy Hallow,5/25/2022,1464,38.3,245406516,75951,60,53569545,636003
Levels,Levels (feat. Sunny Malton),Sidhu Moose Wala,5/25/2022,3510,23,146988095,16234,59,262992730,4331524
La Bachata,La Bachata,Manuel Turizo,5/26/2022,146,126.2,1721045197,156941,81,798827877,3379928
ııQuıı Nos Pasıı?,ııQuıı Nos Pasıı? - Single,Anuel AA,5/26/2022,3926,21.5,161990851,31668,68,187450025,1297403
Sleazy Flow (with Lil Baby) - Remix,Sleazy Flow (Remix),SleazyWorld Go,5/26/2022,4129,20.9,127742133,48520,58,,
What My World Spins Around,What My World Spins Around,Jordan Davis,5/27/2022,1769,34.6,225128269,23133,71,6417626,36749
Si Fuera Fï¿½ï¿,Si Fuera Fï¿½ï¿½cil - Si,Grupo Marca Registrada,5/27/2022,2195,30.6,285183501,28319,65,322857747,1566688
True Love,True Love,Kanye West,5/27/2022,2884,26,269363579,84173,70,3464827,61192
HOT,SEVENTEEN 4th Album 'Face the Sun',SEVENTEEN,5/27/2022,3352,23.7,210513394,16039,67,270821476,4018096
Potion (with Dua Lipa & Young Thug),Potion (with Dua Lipa & Young Thug),Calvin Harris,5/27/2022,3657,22.4,221965013,38872,60,51083768,550181
Kahani Suno 2.0,Kahani Suno 2.0,Kaifi Khalil,5/31/2022,1027,47.4,296648613,21479,68,510727740,6497078
Voices In My Head,Voices In My Head,Falling In Reverse,5/31/2022,3644,22.5,122568479,33824,68,109752215,1100224
NEON BLADE,NEON BLADE,MoonDeity,6/1/2022,1821,34.1,256121980,60620,68,223554131,2671018
OJALï¿,OJALï¿,Maria Becerra,6/1/2022,2579,27.8,168710415,16559,56,358805694,1890653
Carrying Your Love,Carrying Your Love,David Morris,6/1/2022,4399,19.9,33278200,10186,50,4962879,74982
ıııııııııııııııııııııııı,ıııııııııııııııııııııııı - Single,Ptrp Studio,6/2/2022,1515,37.8,13219831,3136,45,58017693,793077
Teenage Dream,Teenage Dream,Stephen Dawes,6/2/2022,1578,36.9,170404957,31472,64,35509290,602329
I Like You (A Happier Song) (with Doja Cat),Twelve Carat Toothache,Post Malone,6/3/2022,179,112.5,827950825,118965,73,299001099,2751490
Ferxxo 100,Ferxxo 100,Feid,6/3/2022,1392,39.7,444613276,56678,73,328723503,1532631
Ojos Marrones,Ojos Marrones,Lasso,6/3/2022,2690,27.2,370988405,33800,68,69184223,532555
ıııı ıııııııııı,ıııı ıııııııııı,ANNA ASTI,6/3/2022,2922,25.8,21081306,7633,51,375871120,962835
Vamos Para Arriba,Vamos Para Arriba,Junior H,6/3/2022,3156,24.6,223422665,24041,66,236583955,923052
Ai Preto,Ai Preto,L7NNON,6/3/2022,3178,24.5,219756697,31819,60,247152121,1745948
Distraction,Distraction,Polo G,6/3/2022,3383,23.6,103549505,45954,55,40937892,673845
Villano Antillano: Bzrp Music Sessions Vol. 51,Villano Antillano: Bzrp Music Sessions Vol. 51 - Single,Bizarrap,6/8/2022,1633,36.2,305438624,54393,65,320765258,3672582
ISABELLE,ISABELLE,Sefo,6/8/2022,4398,20,90838757,22248,53,203958899,721936
Glimpse of Us,Glimpse of Us,Joji,6/10/2022,242,99.8,1262308912,234936,74,66246839,2067331
Rock and A Hard Place,Rock and A Hard Place,Bailey Zimmerman,6/10/2022,430,74.4,412845771,59749,73,215094924,1522549
La llama que Baila,La llama que Baila,El Reino Infantil,6/10/2022,508,68.5,665611,145,22,1209387613,3358774
KU LO SA - A COLORS SHOW,KU LO SA - A COLORS SHOW,Oxlade,6/10/2022,1089,45.9,331419634,92569,68,90820063,924838
Numb,Numb,Marshmello,6/10/2022,1219,42.9,401066217,70661,69,54641192,657641
Betty (Get Money),Betty (Get Money),Yung Gravy,6/10/2022,1685,35.6,262402978,61547,59,68754110,1120053
I spoke to the devil in miami he said everything would be fine,LOOK AT ME: THE ALBUM,XXXTENTACION,6/10/2022,1979,32.4,42993944,14476,58,7064950,182381
Yet To Come,Proof,BTS,6/10/2022,2656,27.3,344744597,16095,64,264915434,15060408
Cash In Cash Out,Cash In Cash Out,Pharrell Williams,6/10/2022,3121,24.7,172589732,67514,61,21990862,343936
If You're Happy and You Know It (Clap Your Hands),Circle Time Singalong,CoComelon,6/10/2022,3514,23,433037,120,20,386932138,889910
Vette Motors,Vette Motors - Single,YoungBoy Never Broke Again,6/10/2022,3814,21.9,80585683,16202,19,88959234,770086
Run BTS,Proof,BTS,6/10/2022,4132,20.9,439395056,23010,71,,
Chunni Me Perfume Lagawe,Chunni Me Perfume Lagawe - Single,Gajendra Gurjar,6/13/2022,2412,29,,,,501846542,2581637
B.O.T.A. (Baddest Of Them All) - Edit,B.O.T.A. (Baddest Of Them All) / Move To The,Eliza Rose,6/15/2022,1389,39.7,325902688,119047,70,1958012,26829
B.O.T.A. (Baddest Of Them All),B.O.T.A. (Baddest Of Them All) / Move To The,Eliza Rose,6/15/2022,2397,29.1,47723324,34495,52,90212996,801572
Numero Uno,Numero Uno,Dan-E-MC,6/15/2022,4007,21.3,1224,3,,389845206,2639618
DON'T YOU WORRY,Don't You Worry,Black Eyed Peas,6/16/2022,1044,46.9,302939117,48916,62,236850911,1744818
ULTRA SOLO REMIX,ULTRA SOLO Remix,Polimï¿½ï¿½ Westc,6/16/2022,1641,36.1,340527913,50714,67,317404552,2187888
Big City Life,Big City Life,Luude,6/16/2022,2653,27.4,181323700,71547,65,17510125,116193
Jimmy Cooks (feat. 21 Savage),Honestly Nevermind,Drake,6/17/2022,192,109.7,971473231,239671,78,198796965,2003253
The Kind of Love We Make,The Kind of Love We Make,Luke Combs,6/17/2022,628,60.6,470340261,68177,75,123212252,623104
Massive,Honestly Nevermind,Drake,6/17/2022,873,51.7,253114498,111173,65,42397563,402014
Sticky,Honestly Nevermind,Drake,6/17/2022,1492,37.9,253177498,83779,66,79370407,913062
Call Me Every Day (feat. WizKid),Call Me Every Day (feat. WizKid),Chris Brown,6/17/2022,2174,30.8,125056212,43939,61,123551829,1191440
Deep Down (feat. Never Dull),Deep Down (feat. Never Dull),Alok,6/17/2022,2318,29.7,335203899,61133,76,22524199,241700
Girlfriend,The Second Wave (Deluxe),Ruger,6/17/2022,2691,27.2,56670689,18344,16,126849797,654337
Mentalitï¿,EP2,Baby Gang,6/17/2022,2761,26.7,120605300,50347,66,116373773,1063920
Jimmy Cook's (feat. 21 Savage),Honestly Nevermind,Drake,6/17/2022,3097,24.8,971473231,8682,48,66659649,434146
Kernkraft 400 (A Better Day),Kernkraft 400 (A Better Day),Topic,6/17/2022,3543,22.9,171920896,41774,65,14115131,142485
Macarena (Bayside Boys Remix) (Remasterizado),Viva el Verano (Remasterizado 2022),Los Del Rio,6/17/2022,3989,21.4,,,,,
Mayor Que Usted,Mayor Que Usted - Single,NATTI NATASHA,6/17/2022,4068,21.1,120404381,17334,54,217520607,1240522
Param Pom,Param Pom,TAIRA,6/17/2022,4353,20.1,20855,14,7,334451880,1636690
Kokomo,The Very Best Of The Beach Boys: Sounds Of Summer (Expanded Edition Super Deluxe),The Beach Boys,6/17/2022,4564,19.5,271362772,128,25,,
BREAK MY SOUL,BREAK MY SOUL,Beyoncï¿,6/21/2022,544,65.7,443564590,80121,64,122345818,1753026
Cracker Island (feat. Thundercat),Cracker Island (feat. Thundercat),Gorillaz,6/22/2022,4263,20.4,98108741,40658,56,67381975,1403327
Haja Colï¿½ï¿½rio (feat. Hugo & Guilherme) - Ao,Haja Colï¿½ï¿½rio (feat. Hugo & Guilherme) [Ao V,Guilherme & Benuto,6/23/2022,2871,26,290735048,17734,60,296249830,565573
POP!,IM NAYEON,NAYEON,6/24/2022,946,49.4,296828933,25748,69,407776018,8669558
Left and Right (Feat. Jung Kook of BTS),Left and Right (Feat. Jung Kook of BTS),Charlie Puth,6/24/2022,1542,37.4,947763871,59942,72,65306295,1305561
Sharks,Sharks,Imagine Dragons,6/24/2022,1579,36.9,283572432,48772,65,194184325,1695485
soso,Boy Alone,Omah Lay,6/24/2022,2017,32.1,167668390,54358,71,185746447,988971
Going Going Gone,Growin' Up,Luke Combs,6/24/2022,2139,31.1,192633758,25097,72,43607584,203727
Eid,Eid,Mehmood J,6/24/2022,2273,30,10762,5,4,20819326,318193
Bad Habit,Bad Habit,Steve Lacy,6/29/2022,207,105.8,1087938471,220515,73,147472695,2050299
Shootout,Shootout,Izzamuzzic,6/29/2022,4276,20.4,130356067,36554,63,47933349,701867
Victoriaï¿½ï¿½ï¿½s,Victoriaï¿½ï¿½ï¿½s,Jax,6/30/2022,1616,36.5,161267092,28607,62,60783794,1205587
Hot In It,Hot In It - Single,Tiï¿½ï¿,6/30/2022,4306,20.3,220250463,46098,65,28716329,313494
For My Hand (feat. Ed Sheeran),Love Damini,Burna Boy,7/1/2022,1366,40.1,264048274,62386,65,170657868,1096724
Casei Com a Putaria,Casei Com a Putaria,Mc Paiva ZS,7/1/2022,2748,26.8,255564797,31242,63,264486017,1523924
It's Plenty,Love Damini,Burna Boy,7/1/2022,3000,25.4,134909945,52025,62,84020549,655144
DIE,KMT,Gazo,7/1/2022,3393,23.5,168211673,38142,62,112307349,619364
Chasing Game,Various Worldwide IV,Nick Hanzo,7/1/2022,3946,21.5,,1,,377233092,352337
Quevedo: Bzrp Music Sessions Vol. 52,Quevedo: Bzrp Music Sessions Vol. 52,Bizarrap,7/6/2022,92,161.7,1692951462,209490,78,1132539234,8795731
Stick Season,Stick Season,Noah Kahan,7/8/2022,342,82.6,965865213,113676,86,89431811,659870
Normal,Normal,Feid,7/8/2022,804,54.1,724772954,76821,76,395704504,1556356
ALL MINE,WASTELAND,Brent Faiyaz,7/8/2022,1232,42.7,315014005,61987,71,77564375,661614
No Es por Acï¿,No Es por Acï¿½ï¿½ - Si,Carin Leon,7/8/2022,1543,37.4,331775657,17727,51,385663277,785773
World Hold On - FISHER Rework,World Hold On (feat. Steve Edwards) [FISHER Rework] - Single,Bob Sinclar,7/8/2022,1592,36.7,240482615,97818,62,,
JACKIE BROWN,WASTELAND,Brent Faiyaz,7/8/2022,2542,28.1,247386146,57298,70,48937559,461922
Solo Me Dejaste,Solo Me Dejaste,Grupo Marca Registrada,7/8/2022,3454,23.2,175374235,19506,66,236220298,1251377
Los Cachos,Los Cachos - Single,Piso 21,7/8/2022,3858,21.7,281927185,27199,63,158004846,605118
Girls,Girls - The 2nd Mini Album,aespa,7/8/2022,3923,21.6,115406939,11617,62,267348363,3146913
Nachts wach,Nachts wach - Single,Miksu / Macloud,7/8/2022,4518,19.6,128484709,57396,62,2575615,23097
Oddara (feat. Mercedes Salinas),Oddara,Overcast,7/10/2022,3888,21.6,,,,376956912,1462872
Calidad,Calidad,Grupo Firme,7/12/2022,2238,30.3,308915484,18763,54,272892088,834521
Bandana,Bandana,Fireboy DML,7/13/2022,2934,25.7,118971684,31855,63,14545093,88499
Bad Habit,Gemini Rights,Steve Lacy,7/14/2022,1686,35.6,1087201670,2735,45,34379313,714505
golden hour,golden hour,JVKE,7/15/2022,183,111.4,1126986320,200887,73,293553015,5388022
Building Blocks,Darkly,Falls,7/15/2022,619,61.1,,1,,1067013260,2057980
Nonsense,emails i can't send,Sabrina Carpenter,7/15/2022,1129,44.8,817286460,55620,83,156580179,1685462
2 Be Loved (Am I Ready),Special,Lizzo,7/15/2022,1525,37.6,335194737,36991,62,63109208,453293
Static,Gemini Rights,Steve Lacy,7/15/2022,1786,34.4,304386086,69159,72,18632784,257442
the perfect pair,Beatopia,beabadoobee,7/15/2022,2936,25.7,230129740,56091,72,34590747,614842
ııııııııııııııııııııııııııııııııııııııı Feat.IIVY B,ııııııııııııııııııııııııııııııııııııııı (feat. IIVY B) - Single,bonnadol,7/15/2022,3006,25.4,9045662,2307,39,,
Oklahoma Smokeshow,Summertime Blues,Zach Bryan,7/15/2022,3193,24.4,283406755,35672,77,62279409,254008
About Damn Time,Special,Lizzo,7/15/2022,3881,21.7,846772236,22663,64,,
SNEAKERS,CHECKMATE,ITZY,7/15/2022,4128,20.9,95952617,10516,56,259567120,4792675
Stay With Me,Stay With Me (with Justin Timberlake Halsey & Pharrell),Calvin Harris,7/15/2022,4242,20.5,142927322,32810,56,11242174,91853
SNAP - High and Fast,SNAP PACK - EP,Rosa Linn,7/15/2022,4548,19.5,138349331,15155,59,2006799,61403
"Kesariya (From ""Brahmastra"")","Kesariya (From ""Brahmastra"") - Single",Pritam,7/17/2022,1084,46,516740949,30584,67,548697509,6082861
Left and Right (Charlie Puth) [feat. Jung Kook of BTS] - Sped Up Version,Left and Right (Charlie Puth) [feat. Jung Kook of BTS] [Sped Up Version],sped up nightcore,7/18/2022,2807,26.5,3492767,807,27,412119147,8660129
Here With Me,Here With Me,d4vd,7/20/2022,234,101.4,1042311849,154178,80,256736243,2649848
Romantic Homicide,Romantic Homicide,d4vd,7/20/2022,308,86.8,1136504636,152157,81,154143867,2307573
GIVENCHY,Temporada de Reggaetï¿½ï¿,Duki,7/20/2022,2436,28.9,240519561,48629,62,203263077,2270776
Doja,Doja,Central Cee,7/21/2022,360,80.5,676519766,192241,74,201326163,3061387
TV,Guitar Songs,Billie Eilish,7/21/2022,1285,41.5,572602278,80064,76,115201405,1469402
Bad Memories (feat. Elley Duhï¿½ï¿½ & FAST,Bad Memories (feat. Elley Duhï¿½ï¿½ & FAST,MEDUZA,7/22/2022,1035,47.2,460973352,87026,69,21938855,220610
El Rescate,El Rescate - Single,Grupo Marca Registrada,7/22/2022,2528,28.2,391773238,34952,69,133887895,711785
Love Lost,I Love Life Thank You,Mac Miller,7/22/2022,3092,24.9,240912994,69587,70,12082132,177490
Are You Entertained (feat. Ed Sheeran),Are You Entertained (feat. Ed Sheeran),Russ,7/22/2022,3135,24.6,65786757,28190,56,27754329,216369
So Far Away,So Far Away,Down Time,7/22/2022,3158,24.5,29375,43,1,410777646,4011926
Sin Seï¿½ï,Sin Seï¿½ï,Quevedo,7/22/2022,3559,22.8,281829019,58130,62,49681285,476250
Dah Dah DahDah,Who is Nardo Wick?? (Deluxe),Nardo Wick,7/22/2022,3766,22,142262820,53038,63,35675859,373352
Humpty Dumpty,Fusion In The City,Lo Greco Bros,7/22/2022,3866,21.7,,4,,354682832,389042
Los animales en el autobï¿½,La ronda de Lulita,Luli Pampï¿½,7/22/2022,4400,19.9,108439,50,17,311333094,770466
More than you know,More than you know,NoSpace,7/25/2022,1397,39.7,2030,5,2,679269509,4540153
LOKERA,LOKERA,Rauw Alejandro,7/25/2022,1452,38.5,656416971,74344,75,58769088,325798
DESPECHï¿,DESPECHï¿,ROSALï¿½,7/28/2022,166,116.9,1003487432,126402,73,621874255,2859234
Butakera,Butakera,La Joaqui,7/28/2022,3259,24.1,127392768,22713,59,129725858,558219
CUFF IT,RENAISSANCE,Beyoncï¿,7/29/2022,213,104.9,795960535,100204,73,176996169,1606296
1000 Blunts,Sing Me a Lullaby My Sweet Temptation,$uicideboy$,7/29/2022,2237,30.3,189588270,43837,72,87680985,700043
Matte Black,Sing Me a Lullaby My Sweet Temptation,$uicideboy$,7/29/2022,3938,21.5,162889846,45505,69,82186979,804789
Never Sleep (feat. Lil Baby),Never Sleep,NAV,7/29/2022,4123,20.9,130902100,56267,56,24521973,347778
Drift Night,Drift Night,Alfianie,7/30/2022,3967,21.4,218621,137,29,,
Hands,Hands,Dianï¿½,8/1/2022,115,143.9,126914,8,1,2435813922,7208467
Attention,NewJeans 1st EP 'New Jeans',NewJeans,8/1/2022,2962,25.6,384965888,32389,72,174618135,3601820
Hype Boy,NewJeans 1st EP 'New Jeans',NewJeans,8/1/2022,3836,21.8,541018402,37204,74,35777367,911054
Billete Grande (En Vivo),Billete Grande (En Vivo),Fuerza Regida,8/2/2022,1377,39.9,309329645,30705,68,368079858,1155888
Back,Back,LOLA,8/3/2022,140,128,48428,92,3,2123978358,5670850
Love Terremoto - Ao Vivo,Resenha Preferida Vol. 2 (Ao Vivo),Os Barï¿½ï¿½es Da Pisad,8/3/2022,2413,29,17075528,1868,40,458564536,2110326
LOS APARATOS,LOS APARATOS,El Alfa,8/3/2022,3943,21.5,137720938,30579,65,153725209,1337733
Revisando El Celu,Revisando El Celu,HCTM,8/3/2022,4093,21,8761,12,,30515,811
I Don't Even Want To Know,I Don't Even Want To Know,Delifinger,8/4/2022,1664,35.8,,1,,592714623,1064537
Facas - Ao Vivo,Diego & Victor Hugo Ao Vivo Em Sï¿½ï¿½o Paulo Vo,Diego & Victor Hugo,8/4/2022,1954,32.6,278318,114,17,526506814,2040196
cï¿½ï¿½mo dormi,cï¿½ï¿½mo dormi,Rels B,8/4/2022,2038,31.9,516560181,60949,74,110114094,814675
Miss You,Miss You,Oliver Tree,8/5/2022,261,96.2,631378937,165883,51,32628348,615240
How Do I Say Goodbye,How Do I Say Goodbye,Dean Lewis,8/5/2022,639,59.9,459712644,86820,69,116599191,1422757
STAYING ALIVE (feat. Drake & Lil Baby),STAYING ALIVE (feat. Drake & Lil Baby) - Single,DJ Khaled,8/5/2022,1586,36.8,204471704,72788,55,53474695,805089
MTG MALDIï¿½ï¿½ï¿½ï¿½O ET,MTG MALDIï¿½ï¿½ï¿½ï¿½O ET,DJ GLK,8/5/2022,2689,27.2,,6258,,,
Enough,Enough,charlieonnafriday,8/5/2022,3062,25,127772228,46233,64,45629160,599488
Si Te La Encuentras Por Ahï¿,Si Te La Encuentras Por Ahï¿,Feid,8/5/2022,3254,24.1,245582383,50023,65,100812283,754232
WAKE UP!,WAKE UP!,MoonDeity,8/5/2022,3435,23.3,152307497,35409,67,154243444,1898082
Bad Decisions (with BTS & Snoop Dogg),Bad Decisions (with BTS & Snoop Dogg),benny blanco,8/5/2022,3449,23.3,259730016,21452,62,102357127,3788945
Handle On You,Handle On You,Parker McCollum,8/5/2022,3439,23.3,103858433,17543,63,23571548,127913
Mood,Mood,Makar,8/5/2022,3551,22.8,86132200,50326,55,43654805,405433
Chichiquetere,Chichiquetere,HCTM,8/6/2022,1017,47.6,1858478,581,28,163462,3981
Ya No Vuelvas,Ya No Vuelvas,Luck Ra,8/9/2022,2816,26.4,28739240,4519,51,378611518,826925
Alone,Alone,Rod Wave,8/9/2022,4098,21,64562541,14704,55,63051891,588504
Munch (Feelinï¿½ï¿½,Munch (Feelinï¿½ï¿½ï¿½ U) -,Ice Spice,8/10/2022,3855,21.7,133459011,35905,60,62093393,780391
Limbo,Freddie's Inferno,Freddie Dredd,8/11/2022,2080,31.6,290154153,78735,68,23082946,421187
Sabka Malik Ek,Sabka Malik Ek,Dada Black Sheep,8/12/2022,467,71.3,2754,22,,1197426502,
Super Freaky Girl,Super Freaky Girl,Nicki Minaj,8/12/2022,468,71.2,549382975,88241,64,128432797,2507944
Next Thing You Know,Next Thing You Know,Jordan Davis,8/12/2022,1642,36.1,233212999,26694,71,8294089,77421
NOSTYLIST,NO STYLIST,Destroy Lonely,8/12/2022,2818,26.4,100973437,55772,63,14289584,264058
Sunshine,Sunshine,Tyga,8/12/2022,3363,23.7,85785871,28868,60,12121852,157411
Wildberry Lillet,Wildberry Lillet,Nina Chuba,8/12/2022,3694,22.3,161145820,46697,58,62678908,513962
